Name	Prompt	Reaction	Expression	Conditional Var	Conditional Operator	Conditional Value	Effect Var	Effect Operator	Effect Value	Position	Speaker	Patience Req	Patience Mod
name	"So, What do you call yourself?"	"Willy- Willy the Weasel. Pleasure.|""The Weasel?""|Heyyy, I didn't choose it. "	Happy|Angry|Sad	Null	Null	0	Time	Add	1	3|0|3	Willy Goldbern|Detective Juels|Willy Goldbern	0	0
Job	What's your racket these days?	"If you call working at a diner a ""racket,"" then that, I guess.|You're not a- crook?| Nah, I'm past that; served my time in Stonebrick- real fuckin' drag, that place.|*Their face becomes rigid- unreadable."	Happy|Sad|Happy|Neutral	Null	Null	0	Time	Add	1	3|0|3|3	Willy Goldbern|Detective Juels|Willy Goldbern|Willy Goldbern	0	2
Presence	Why're you here?	"I was bored, and you get some interesting characters in this place- no offense to yourself. I wasn't expecting the fuckin' pig parade to show up, but I ain't gonna let that stop me."	Sad	Null	Null	0	Time	Add	1	2	Willy Goldbern	0	1
Ex Con	"So, an ex-con huh?"	Yup.|*They offer nothing else.|What were you- er- in for?|Plenty of stuff.	Neutral|Neutral|Sad|Sad	Time	Egt	2	ExCon|Time	Add|Add	1|1	3|3|0|4	Willy Goldbern|Willy Goldbern| Detective Juels|Willy Goldbern	0	1
Ex Con 2	Care to be specific? What were you in for? (Push It)	"What, you want the list?|*The silence pervails..."	Angry|Neutral	ExCon	Egt	1	ExCon	Add	1	4|4	Willy Goldbern|Willy Goldbern 	0	1
Ex Con 3	"Yeah, What if I do? (Push It)"	"Assault and Battery, Armed Robbery, Breaking and Entering, Grand Theft Auto, Disturbing the Peace, Burglary, Petty Theft, Indecent Exposure, Illegal Possession of a Firearm, Illegal Possession of Explosive Materials, and High Treason.|Actually, they couldn't pin me for that last one.|Indecent Exposure? |That one was an accident. Also, why is that what you ask about??|Just curious."	Angry|Sad|Sad|Neutral|Neutral	ExCon	Egt	2	Null	Null	0	2|3|0|3|0	Willy Goldbern|Willy Goldbern|Detective Juels|Willy Goldbern|Detective Juels	0	5
Diner	You said you work at a diner? How's that?	"*They sigh with relief, clearly happy to have someone to complain to.| God, boring as the encyclopedia article for drywall. Maybe more. Make coffee, clean the counter, apologize to my boss for being late, repeat. Day in and day out.| So why haven't you quit?|I need the money, and besides- no where else would take me, what with my record and all. The boss might be strict, but she does care- for some reason."	Sad|Happy|Happy|Neutral	Time	Egt	2	Time	Add	1	3|2|0|3	Willy Goldbern|Willy Goldbern|Detective Juels|Willy Goldbern 	0	0
Single	Are you single?	"Woah, woah, woah, lady, we just me-|I'm not asking for myself.|Oh. Uh, yeah, yeah I am. Not a lot of room for romance in the life I've lived, y'know?|I don't, but I believe you. "	Sad|Neutral|Happy|Sad	Time	Egt	2	Time	Add	1	3|0|2|0	Willy Goldbern|Detective Juels|Willy Goldbern|Detective Juels	0	1
Cops	What do you think of the cops?	Fuck 'em.| In what context?|The fuck do you think lady?|Fair enough.	Happy|Neutral|Angry|Neutral	Time	Egt	4	Null	Null	0	3|0|2|0	Willy Goldbern|Detective Juels|Willy Goldbern|Detective Juels	0	2
Uturn	Why did you turn it around?	"Turn what around?|Y'know, your life.|What the hell kinda investigation is this?|A personal one. Answer the fuckin' question, Willy.|Fine, fine, fine. I'm not one to get all sappy or anything, but you clearly- clearly- don't seem like you're the arresting type. So, here goes; young kid, broke, dirt on their nose, old mother, dead dad. Wants respect, wants money, wants the kinda life you hear about Blanca and them having. What do they do?|They join a gang.| Yup. I was always smart, and quiet, and I would bite you if cornered. How I got my name.|What then?|I got sent to the clink- 8 times by the time I was 20. My ma, her mind don't work as well as it used to. When I got home from my last sentence- she- she asked me to stop… |*They trail off.|So you stopped.|Yeah- so I stopped. "	Neutral|Neutral|Angry|Angry|Neutral|Neutral|Neutral|Neutral|Neutral|Neutral|Neutral|Sad	Time	Egt	4	Null	Null	0	3|0|2|1|3|0|3|0|3|3|0|3	Willy Goldbern|Detective Juels|Willy Goldbern|Detective Juels|Willy Goldbern|Detective Juels|Willy Goldbern|Detective Juels|Willy Goldbern|Willy Goldbern|Detective Juels|Willy Goldbern	0	3
